company,rating,location,positionName,min_salary,max_salary,average_salary,skills,skill_categories,skills_count_all,skills_count_single,total_skills,city,skills_str,cluster
Google,4.3,"San Bruno, CA","Senior Data Scientist, Research, YouTube Search",166000.0,244000.0,205000.0,"['python', 'r', 'statistics', 'data science', 'data infrastructure', 'sql', 'economics', 'physics', 'operations research']","[0, 0, 1, 2, 4, 5, 10, 10, 10]",9,,9,San Bruno,python r statistics data science data infrastructure sql economics physics operations research,1
BAXTER,3.7,"Milwaukee, WI 53214",Senior AI Engineer - Data Scientist,112000.0,154000.0,133000.0,"['python', 'scala', 'optimization', 'machine learning', 'generative ai', 'data science', 'predictive modeling', 'spark', 'databricks', 'azure', 'tableau', 'power bi', 'data visualization', 'hipaa']","[0, 0, 1, 2, 2, 2, 2, 4, 4, 6, 7, 7, 7, 10]",14,,14,Milwaukee,python scala optimization machine learning generative ai data science predictive modeling spark databricks azure tableau power bi data visualization hipaa,3
Meta,4.2,"Redmond, WA","Audio Software Engineer, Applied Scientist",146993.6,146993.6,146993.6,"['c', 'c++', 'machine learning', 'generative ai', 'artificial intelligence', 'physics', 'audio signal processing', 'signal processing']","[0, 0, 2, 2, 2, 10, 10, 10]",8,,8,Redmond,c c++ machine learning generative ai artificial intelligence physics audio signal processing signal processing,4
Meta,4.2,"Bellevue, WA 98005","Software Engineer, Machine Learning",203350.0,240240.0,221795.0,"['python', 'java', 'c', 'c#', 'c++', 'haskell', 'php', 'perl', 'shell scripting', 'shell scripts', 'unix', 'linux', 'classification', 'regression', 'optimization', 'machine learning', 'deep learning', 'natural language processing', 'computer vision', 'recommendation systems', 'data mining', 'tensorflow', 'pytorch', 'mxnet', 'spark', 'hadoop', 'pig', 'mapreduce', 'sql', 'bigtable', 'hbase', 'git', 'physics', 'computer graphics']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 10, 10]",34,,34,Bellevue,python java c c# c++ haskell php perl shell scripting shell scripts unix linux classification regression optimization machine learning deep learning natural language processing computer vision recommendation systems data mining tensorflow pytorch mxnet spark hadoop pig mapreduce sql bigtable hbase git physics computer graphics,9
Lockheed Martin,4.0,"Shelton, CT 06484",AI / Machine Learning Research Engineer (early career),,,,"['python', 'c', 'c++', 'go', 'linux', 'machine learning', 'deep learning', 'computer vision', 'artificial intelligence', 'pytorch', 'scikit', 'numpy', 'pandas', 'opencv', 'kafka', 'docker', 'git', 'model deployment', 'grpc', 'high-performance computing', 'cuda', 'intel oneapi', 'nvidia tensorrt', 'triton inference server', 'onnxruntime', 'security', 'physics']","[0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 6, 6, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10]",27,,27,Shelton,python c c++ go linux machine learning deep learning computer vision artificial intelligence pytorch scikit numpy pandas opencv kafka docker git model deployment grpc high-performance computing cuda intel oneapi nvidia tensorrt triton inference server onnxruntime security physics,9
Google,4.3,"Cambridge, MA","Staff Data Scientist, Research, Search Platforms",197000.0,291000.0,244000.0,"['python', 'r', 'statistics', 'optimization', 'data science', 'data infrastructure', 'sql', 'economics', 'physics', 'operations research']","[0, 0, 1, 1, 2, 4, 5, 10, 10, 10]",10,,10,Cambridge,python r statistics optimization data science data infrastructure sql economics physics operations research,1
JPMorganChase,3.9,"Jacksonville, FL 32256","Applied AI/ML, Senior Associate - Gen AI & LLM",128250.0,195000.0,161625.0,"['python', 'r', 'machine learning', 'generative ai', 'large language models', 'llm', 'ai/ml', 'ai/ml development', 'data science', 'finance', 'data governance', 'communication skills']","[0, 0, 2, 2, 2, 2, 2, 2, 2, 10, 10, 10]",12,,12,Jacksonville,python r machine learning generative ai large language models llm ai/ml ai/ml development data science finance data governance communication skills,2
Comcast Corporation,3.6,"San Francisco, CA 94108","Executive Director, ML and Ad Marketplace",293755.64,459791.43,376773.535,"['optimization', 'machine learning', 'artificial intelligence', 'data science', 'data infrastructure', 'data modeling']","[1, 2, 2, 2, 4, 5]",6,,6,San Francisco,optimization machine learning artificial intelligence data science data infrastructure data modeling,4
Riverside Research Institute,3.9,"Beavercreek, OH 45431",AI/ML Engineer,70000.0,120000.0,95000.0,"['python', 'optimization', 'stochastic simulation', 'machine learning', 'computer vision', 'multi-modal ai/ml', 'ai/ml', 'artificial intelligence', 'tensorflow', 'high-performance computing', 'sociology', 'security', 'communication skills', 'physics', 'signal processing']","[0, 1, 1, 2, 2, 2, 2, 2, 3, 9, 10, 10, 10, 10, 10]",15,,15,Beavercreek,python optimization stochastic simulation machine learning computer vision multi-modal ai/ml ai/ml artificial intelligence tensorflow high-performance computing sociology security communication skills physics signal processing,4
Mayo Clinic,3.8,"Rochester, MN 55901",Senior Software Engineer - AI/ML,138257.6,200512.0,169384.8,"['java', 'c', 'c#', 'c++', 'machine learning', 'deep learning', 'natural language processing', 'computer vision', 'generative ai', 'large language models', 'llm', 'ai/ml', 'artificial intelligence', 'ai engineering', 'data science', 'data engineering', 'aws', 'azure', 'gcp', 'sagemaker', 'azure ml', 'vertex ai', 'gcp vertex ai', 'compliance', 'security', 'communication skills']","[0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 6, 6, 6, 6, 6, 6, 6, 10, 10, 10]",26,,26,Rochester,java c c# c++ machine learning deep learning natural language processing computer vision generative ai large language models llm ai/ml artificial intelligence ai engineering data science data engineering aws azure gcp sagemaker azure ml vertex ai gcp vertex ai compliance security communication skills,2
